Movie,LeadStudio,AudienceScore,Genre,Year,Id
Johnny English Reborn,Relativity Media,55,Comedy,2011,566
Just Go With It,Happy Madison,63,Romance,2011,567
Killer Elite,Independent,48,Action,2011,568
Kung Fu Panda 2,DreamWorks,80,Animation,2011,569
Larry Crowne,Universal,46,Drama,2011,570
Limitless,Virgin,73,Thriller,2011,571
Machine Gun Preacher,Lionsgate,71,Action,2011,572
Margin Call,Independent,73,Thriller,2011,573
Mars Needs Moms,Disney,43,Animation,2011,574
Midnight in Paris,Sony,84,Romance,2011,575
Mission Impossible 4,Paramount,86,Action,2011,576
Moneyball,Columbia,89,Drama,2011,577
Monte Carlo,Fox,50,Romance,2011,578
Mr. Popper's Penguins,Fox,54,Comedy,2011,579
My Week with Marilyn,Weinstein,84,Drama,2011,580
New Year's Eve,Warner Bros,48,Romance,2011,581
No Strings Attached,Spyglass Entertainment,57,Comedy,2011,582
One Day,Independent,54,Romance,2011,583
Our Idiot Brother,Weinstein,79,Comedy,2011,584
Paranormal Activity 3,Independent,58,Horror,2011,585
Paul,Relativity Media,70,Comedy,2011,586
Pirates of the Caribbean:On Stranger Tides,Disney,61,Action,2011,587
Priest,Sony,37,Action,2011,588
Puss In Boots,DreamWorks,76,Animation,2011,589
Rango,Paramount,69,Animation,2011,590
Real Steel,DreamWorks,81,Action,2011,591
Red Riding Hood,Warner Bros,41,Horror,2011,592
Red State,Independent,59,Horror,2011,593
Rio,Fox,73,Animation,2011,594
Rise of the Planet of the Apes,Fox,87,Action,2011,595
Sanctum,Relativity Media,39,Action,2011,596
Scream 4,Weinstein,57,Horror,2011,597
Season Of The Witch,Relativity Media,32,Action,2011,598
Shame,Independent,80,Drama,2011,599
Shark Night 3D,Relativity Media,25,Horror,2011,600
Sherlock Holmes 2,Warner Bros,79,Action,2011,601
Something Borrowed,Independent,65,Romance,2011,602
Soul Surfer,Sony,79,Drama,2011,603
Source Code,Summit,81,Thriller,2011,604
Spy Kids: All The Time in the World,Weinstein,40,Action,2011,605
Sucker Punch,Legendary Pictures,48,Action,2011,606
Super 8,Paramount,78,Horror,2011,607
Take Me Home Tonight,Relativity Media,46,Comedy,2011,608
Take Shelter,Independent,85,Drama,2011,609
The Adjustment Bureau,Independent,67,Thriller,2011,610
The Adventures of Tintin,Paramount,78,Adventure,2011,611
The Artist,Weinstein,91,Drama,2011,612
The Beaver,Summit,57,Drama,2011,613
The Big Year,Independent,62,Comedy,2011,614
The Change Up,Relativity Media,53,Comedy,2011,615
The Company Men,Weinstein,55,Drama,2011,616
The Conspirator,Independent,65,Drama,2011,617
The Debt,Universal,70,Thriller,2011,618
The Descendants,Fox,88,Drama,2011,619
The Dilemma,Spyglass Entertainment,31,Comedy,2011,620
The Eagle,Universal,43,Action,2011,621
The Girl With The Dragon Tattoo,Sony,89,Thriller,2011,622
The Green Hornet,Columbia,47,Action,2011,623
The Hangover Part II,Legendary Pictures,58,Comedy,2011,624
The Help,DreamWorks,91,Drama,2011,625
The Ides of March,Columbia,76,Thriller,2011,626
The Iron Lady,Weinstein,54,Drama,2011,627
The Lincoln Lawyer,Lionsgate,82,Drama,2011,628
The Mechanic,Independent,52,Action,2011,629
The Muppets,Disney,87,Comedy,2011,630
The Rite,Warner Bros,43,Horror,2011,631
The Roommate,Independent,29,Horror,2011,632
The Rum Diary,Independent,48,Drama,2011,633
The Sitter,Fox,43,Comedy,2011,634
The Smurfs,Sony,50,Animation,2011,635
The Thing,Universal,52,Horror,2011,636
The Three Musketeers,Independent,48,Action,2011,637
The Tree Of Life,Independent,61,Drama,2011,638
Thor,Disney,80,Action,2011,639
Tinker Tailor Soldier Spy,Focus,68,Thriller,2011,640
Tower Heist,Relativity Media,61,Comedy,2011,641
Transformers: Dark of the Moon,DreamWorks,67,Action,2011,642
Twilight: Breaking Dawn,Independent,68,Romance,2011,643
Unknown,Independent,57,Thriller,2011,644
War Horse,Disney,73,Drama,2011,645
Warrior,Lionsgate,93,Action,2011,646
Water For Elephants,Fox,72,Drama,2011,647
We Bought a Zoo,Fox,79,Comedy,2011,648
What's Your Number,Fox,50,Comedy,2011,649
Winnie The Pooh,Disney,79,Animation,2011,650
X-Men: First Class,Disney,88,Action,2011,651
Your Highness,Universal,36,Comedy,2011,652
Zookeeper,Happy Madison,42,Comedy,2011,653
Lovelace,Radius-TWC,37,Biography,2013,654
The Shadow of Destiny,Sony,70,Mystery,2025,655
Midnight Reverie,Paramount,70,Romance,2025,656
Echoes of Eternity,Paramount,70,Fantasy,2025,657
Whispers in the Wind,Sony,70,Drama,2025,658
Solitude's Embrace,Sony,70,Drama,2025,659
Enigma of the Abyss,Paramount,70,Mystery,2025,660
Chronicles of the Lost,Sony,70,Adventure,2025,661
Twilight Serenade,Sony,70,Romance,2025,662
Secrets of the Moon,Fox,70,Mystery,2025,663
Beyond the Horizon,Fox,70,Adventure,2025,664
Mirage of Memories,Fox,70,Drama,2025,665
Symphony of Shadows,Sony,70,Thriller,2025,666
Veil of Illusions,Sony,70,Fantasy,2025,667
Dance of the Stars,Sony,70,Musical,2025,668
Serenity's Song,Universal,70,Drama,2025,669
Echoes from the Past,Universal,70,Mystery,2025,670
Twilight Mirage,Universal,70,Fantasy,2025,671
Whispers of Fate,Sony,70,Drama,2025,672
Enchanted Echo,Sony,70,Fantasy,2025,673
Dawn's Embrace,Sony,70,Romance,2025,674
